Description_proc
0,warranti month vendor doesnt provid invoic
1,good laptop offic work
2,laptop doesnt come oper system window pro advertis came ubuntu oper system
3,need know whether devic new import
4,havent bought anyth yet
5,good
6,laptop came oper system furthermor lamp respons tell laptop current charg function
7,laptop great capabl eleg offic work game graphic
8,slim devic strong precis port display fhd basic specif describ ig show high perform
9,laptop god will beauti design materi keyboard white m gta v work well featur reduc two full year tax invoic ad amazon day thank amazon
10,good laptop price doesnt nd authent like fingerprint face recognit
11,broke month use dont buy
12,terribl product slow start slow work minut log longer guarante person use famili member one check equip
13,excel comput definit expect
14,laptop realli awesom describ fast work need didnt find laptop beat one price qualif sure better graphic card would fun game that anoth stori realli recommend
15,like excel version oper system must taken account work wonder therefor specif devic advertis page must modifi word window hour oper system must remov
16,good
17,good
18,price batteri light weight excel screen halfcolor
19,bought product sale gift total receiv expect packag truli beat hell box cover differ type tape also entir possibl crazi black friday outermost box got decim star loss insid box appropri amount shock resist packag materi make appear protect despit circumst open undamag comput move onto requir ssd ram upgrad option batteri upgrad want point lenovo vantag app found batteri warranti alreadi start back august experi lenovo legion period start someon regist product search place note date incorrect resubmit email alongsid microsoft one creat setup peopl uncomfort product appear returnedrefurbish forewarn appear potenti possibl case wasnt relev see care inspect move noth product descript list packag made seem like anyth new skip end want attempt tldrthe requir ssd upgrad gb nvme samsung evo plu ram recycl mention legion two gb run mt critic option decid tri port newish wh batteri legion replac wh within ram ssd typic laptop came bag screw sort fit screw hole left bit play make long term worri potenti loosen batteri upgrad requir reloc bio batteri inch larger batteri fit requir firm gentl coax sink new home case close normal batteri recogn lenovo vantag normal temp upgrad recogn system tweak updat stuff attach photo show score user benchmark time deal correctli ram ssd upgrad sub even sub realli got tight budget wh batteri found rd parti reason price well necessari connect youll ever use plug might matter overal price laptop cant beat sub k game laptop ld max set graphic intens workshop content ad bare touch gpu load per nvidia stat newer content deep rock galact run closer fp max set play around optionsdlssreflex boost yield close excess hz refresh rate matter well overal p game probabl worri didnt test crysi know import thing say imo your unwil unabl upgrad would avoid comput price point ryzen gpu hardwar reserv g ram default disabl integr gpu yield worthwhil result dont bother lower uma mb cost comput abil multitaskmultimedia surf effect user benchmark prove perform wors left free memori comput around gb game base version would bottleneck quickli furthermor definit want move window whatev nvme upgrad base gb forget size adequ uninspir would benefit main system higher bandwidth option leav base storag overflowfor diy capabl will laptop upgrad perfectli captur decent build qualiti incred cheap price capabl budget p game
20,cheapest laptop decent rtx gpu could find system well balanc ryzen h rtx ti mobil storag gb drive fine boot drive need storag also come gb ddr ram need game white backlit keyboard rgb screen resolut p default mhz refresh rate ran passmark bench test first thing sever underperform immedi instal gb kit ddr ran bench score dramat improv photo nd test didnt nd storag drive instal memori upgrad say import upgrad vital need upgrad ram sure your cheap throw gb stick hit suggest buy gb kit side note box seal miss photo box return seal made wonder use refurbish packag insid seem correct dont know someth keep mindal comfort open laptop upgrad want readi go experi dont
21,laptop spec solid lenovo make good product price pointth includ ram stick gb rx ram play well go make comput feel sluggish good option replac first much cheaper order set gb dual channel rx allow pc util full spec dollar second option littl give best game result laptop dual channel gb kit rx expens cl gb rx set get fp cyberpunk great result gb rx set got fp top end biggest differ fp low dip dont realli go bellow allit great laptop upgrad ram extra storag must gamer super easi instal screw pop tab
22,laptop power far use minecraft run game well smooth screen ship also good well packag protect comput damag shipment thing isnt great batteri life that common run game without plug overal recommend
23,great laptop complaint
24,best valu around better store quick ship pleas
25,nice get new laptop birthday thank much
26,need add gb ram
27,good laptop unnotifi design
28,price build qualiti perform quit good screen decent hz panel nice take advantag color dont exactli pop color reproduct isnt bad ip also mean good view angl unit didnt excess backlight bleed littl disappoint keyboard think come msi laptop steelseri keyboard key lenovo feel bit mushier comparison deal breaker even bad realli imagin better keyboard price bracket perform good im happi backuptravel pc fan quieter said msi laptop run fairli cool game replac stock thermal past appli noctua nth drop temp degre die light vermintid rais temp around c run max set minu raytrac even though laptop capabl tldr great perform price modest appear doesnt get terribl loud hot although aesthet somewhat lack keyboard could better definit recommend legion especi appli save toward fairli simpl inexpens upgrad
29,love laptop rtx work amazingli well game like gta v hitman watch shader realtim light simpli amaz use game medic school plan use school pleas think twice make purchas although batteri life last hour without charg drain quit quickli without tweak certain set conserv power also quit heavi plan use laptop ipad school best experi speak laptop run game spectacular run gta v max set rtx hitman set max rtx maintain fp absolut love hz screen musthav run overwatch max set fp valor max set fp tri run spiderman mile moral found run full max set rtx even turn howev run fp tweak set max other mediumth charger quit heavi plan carri laptop charger around consid buy lighter oneoveral would rate laptop price amaz laptop strong power beauti
30,didnt like batteri doesnt last hour said anyth last half hour moder use listen youtub work browser word much heavier thought would default audio low need connect anoth devic improv audio like keyboard feel gener oper good
31,excel keyboard rgb backlit otherwis excel
32,great devic far cant realli much batteri life henc alway plug charg want
33,excel equip keyboard white english work everi video game tri warzon fortnit day light forza horizon etc k fp video edit excel render time consid gb ram prefer increas ram ssd sat iii port add nvme disk input case doubt sound regular screen adequ qualiti hz quiet dont know much heat get ship faster page say approxim week without doubt best purchas make sinc price low increas ram ssd recommend
